"outcome","label","controls","n","clusters","control_mean","t1","t1_se","t1_p","t2","t2_se","t2_p","p_equal"
"green_inco_bin","Green legume incorporation","No",1868,113,0.129263913824057,0.037665220034208,0.0235581912471439,0.112678797593135,0.0452922991936915,0.026500274406765,0.0901972250462991,0.745279728322857
"green_inco_bin","Green legume incorporation","Yes",1811,113,0.130111524163569,0.0218303004857144,0.0231618009669896,0.347958616470099,0.0332066236119415,0.0269846882348134,0.221060878358949,0.618979654013144
"fresh_app_bin","Fresh vegetative material","No",1868,113,0.161579892280072,-0.0371704434611736,0.0271515045694921,0.173738169859507,-0.0683846260078802,0.0267181348274333,0.0118157748455993,0.217788679543696
"fresh_app_bin","Fresh vegetative material","Yes",1811,113,0.16542750929368,-0.0451785772738843,0.0262133544236276,0.0875585869250305,-0.0716128478508996,0.0269254401503086,0.00896869148968711,0.307552518735966
"mat_farm_app_bin","Farmyard manure","No",1867,113,0.262118491921005,-0.00975256132163778,0.0335666467498585,0.771937996621278,-0.0461421605600578,0.0351092892666694,0.191449459242328,0.213885354282103
"mat_farm_app_bin","Farmyard manure","Yes",1810,113,0.263940520446097,-0.017809978111513,0.0328508933871587,0.58879502440198,-0.037199131582796,0.0330173775812681,0.262297322850599,0.495419106526945
"dairy_app_bin","Dairy or poultry manure","No",1867,113,0.263913824057451,0.00737955133687236,0.0315270817074034,0.815357788266396,-0.0982333506846658,0.0313904014237184,0.00223358356783234,0.00105657982899408
"dairy_app_bin","Dairy or poultry manure","Yes",1810,113,0.265799256505576,0.000580753778329315,0.0316525372251116,0.985394057085872,-0.0909740217910554,0.0306836326649474,0.0037004201523109,0.00375645314209702
"comp_app_bin","Compost","No",1866,113,0.236983842010772,-0.0275350231131363,0.0301391252479761,0.362891028513659,-0.00404615655083213,0.0342686873288882,0.906222470442879,0.451592989112453
"comp_app_bin","Compost","Yes",1809,113,0.237918215613383,-0.0322926153190667,0.0282623407542424,0.255640426765145,0.00728949851588719,0.0330899642721941,0.826043761991894,0.187879372504543
"mbeya_app_bin","Mbeya fertilizer","No",1867,113,0.0646319569120287,0.0314310352139538,0.0190308909234747,0.101421374532002,-0.0320393643194357,0.0132235947025417,0.0170001114167447,0.000340199024817635
"mbeya_app_bin","Mbeya fertilizer","Yes",1810,113,0.0650557620817844,0.0301626372835347,0.0183719526321984,0.103441450988918,-0.0271389757753276,0.013455223984257,0.046089100923494,0.000458899720227307
"till_app_bin","Minimum tillage","No",1864,113,0.0538599640933573,-0.00488682033348377,0.0143803696967366,0.73462418867251,-0.00341486023579059,0.0161553055394521,0.832977236851422,0.92000491899214
"till_app_bin","Minimum tillage","Yes",1807,113,0.0557620817843866,-0.00631661098870388,0.0143870312393165,0.661471923950916,-0.00506716889387518,0.0161680142157409,0.75455437732827,0.932648097413772
"ridge_use_bin","Ridges/check dams","No",1868,113,0.637342908438061,0.0744681151839862,0.0324115213639455,0.0234431604827469,0.0904677424495107,0.0325445677541039,0.00638133466950155,0.608423261744188
"ridge_use_bin","Ridges/check dams","Yes",1811,113,0.635687732342007,0.0466102609779578,0.0276574247915886,0.0947206240869281,0.0849252504006767,0.0290488374496025,0.00418867671343931,0.183252987187259
"pit_use_bin","Pit planting","No",1868,113,0.0789946140035907,-0.00340406282248851,0.0189854116810686,0.8580270015772,-0.0183437264296259,0.0179773997141187,0.309748689681562,0.404012571971632
"pit_use_bin","Pit planting","Yes",1811,113,0.0817843866171004,-0.0112100677780561,0.0183452260239265,0.542396825261755,-0.00910331746582539,0.018979888623801,0.632426034321131,0.905734272737061
